product,price,rating,rating_count,product url
Safari Seek 45 Ltrs Overnighter Expandable Travel Laptop Backpack,"₹2,211",,,https://www.amazon.in/Safari-45L-21-OB-BLK/dp/B07BZ5VC4H/ref=sr_1_25?keywords=bags&qid=1667111828&qu=eyJxc2MiOiI4LjAzIiwicXNhIjoiOC4wNSIsInFzcCI6IjYuNzUifQ%3D%3D&sr=8-25
Gear CarryOn 16L Foldable Water Resistant School Bag//Backpack/College Bag for Men/Women - Blue Black,₹249,,,https://www.amazon.in/GEAR-Black-Blue-Backpack-years/dp/B019HA8AYG/ref=sr_1_26?keywords=bags&qid=1667111828&qu=eyJxc2MiOiI4LjAzIiwicXNhIjoiOC4wNSIsInFzcCI6IjYuNzUifQ%3D%3D&sr=8-26
Half Moon 36 ltrs Lightweight Waterproof Backpack for Boys Girls Men/Women College Office Laptop School Bags with Rain Cover,₹699,,,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozNzc0NDk1MTEyMTg1NjU1OjE2NjcxMTE4Mjg6c3BfbXRmOjIwMDM1MTgyOTUzNTk4OjowOjo&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&url=%2FHalf-Moon-Lightweight-Waterproof-Laptop%2Fdp%2FB08RRP2XZY%2Fref%3Dsr_1_27_sspa%3Fkeywords%3Dbags%26qid%3D1667111828%26qu%3DeyJxc2MiOiI4LjAzIiwicXNhIjoiOC4wNSIsInFzcCI6IjYuNzUifQ%253D%253D%26sr%3D8-27-spons%26psc%3D1
Half Moon 34 L Casual Waterproof 15.6 inch Laptop Bag/Backpack for Men Women Boys Girls/Office School College Teens & Students with Rain Cover (Navy Blue),₹699,,,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozNzc0NDk1MTEyMTg1NjU1OjE2NjcxMTE4Mjg6c3BfbXRmOjIwMDM1MTgyOTUwMDk4OjowOjo&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&url=%2FHalf-Moon-Waterproof-Laptop-Backpack%2Fdp%2FB08XVRVTV5%2Fref%3Dsr_1_28_sspa%3Fkeywords%3Dbags%26qid%3D1667111828%26qu%3DeyJxc2MiOiI4LjAzIiwicXNhIjoiOC4wNSIsInFzcCI6IjYuNzUifQ%253D%253D%26sr%3D8-28-spons%26psc%3D1
"POLESTAR Vintage 32 L College/ School/ Office/ Casual/ Travel Backpack with 15.6"" laptop compartment, suitable for both men & women,1 year warranty",₹649,,,https://www.amazon.in/POLESTAR-Vintage-Laptop-Backpack-bagpack/dp/B081GSQ9D9/ref=sr_1_29?keywords=bags&qid=1667111828&qu=eyJxc2MiOiI4LjAzIiwicXNhIjoiOC4wNSIsInFzcCI6IjYuNzUifQ%3D%3D&sr=8-29
Gear Classic 20L Faux Leather Water Resistant Anti Theft Laptop Bag/Backpack for Men/Women-Brown,"₹1,099",,,https://www.amazon.in/Gear-Classic-Leather-Backpack-LBPCLSLTH0201/dp/B07G4F6XFH/ref=sr_1_30?keywords=bags&qid=1667111828&qu=eyJxc2MiOiI4LjAzIiwicXNhIjoiOC4wNSIsInFzcCI6IjYuNzUifQ%3D%3D&sr=8-30
Gear Campus8 25L Water Resistant School Bag/Backpack/College Bag for Men/Women - Green Grey,₹699,,,https://www.amazon.in/Gear-Classic-Casual-Backpack-BKPCAMPS80304/dp/B019FBEJCO/ref=sr_1_31?keywords=bags&qid=1667111828&qu=eyJxc2MiOiI4LjAzIiwicXNhIjoiOC4wNSIsInFzcCI6IjYuNzUifQ%3D%3D&sr=8-31
Gear ModernEco5 21L Water Resistant School Bag//Backpack/College Bag for Men/Women - Black Grey,₹429,,,https://www.amazon.in/Gear-Black-Casual-Backpack-MDBKPECO50104/dp/B0757MBSS6/ref=sr_1_32?keywords=bags&qid=1667111828&qu=eyJxc2MiOiI4LjAzIiwicXNhIjoiOC4wNSIsInFzcCI6IjYuNzUifQ%3D%3D&sr=8-32
Dybbuk Lightweight school bags Backpacks for Boys Girls Stylish men and women Casual Travel Laptop Bag College office,₹599,,,https://www.amazon.in/Dybbuk-Lightweight-Backpacks-Stylish-College/dp/B0BJ26VMFT/ref=sr_1_33?keywords=bags&qid=1667111828&qu=eyJxc2MiOiI4LjAzIiwicXNhIjoiOC4wNSIsInFzcCI6IjYuNzUifQ%3D%3D&sr=8-33
"Dell Pro Slim Backpack 15 - PO1520PS - Fits Most laptops up to 38.1 cm (15 inches, Black)","₹1,899",,,https://www.amazon.in/Dell-Pro-Slim-Backpack-15/dp/B07PMQTB6T/ref=sr_1_34?keywords=bags&qid=1667111828&qu=eyJxc2MiOiI4LjAzIiwicXNhIjoiOC4wNSIsInFzcCI6IjYuNzUifQ%3D%3D&sr=8-34
"Lenovo 15.6"" Professional Backpack, Made in India, Water-resistant,Uncompromised storage, Travel friendly:Fleece-lined PC compartment,Vented,Padded BackPanel & Adjustable shoulder straps,Luggage strap","₹1,249",,,https://www.amazon.in/Lenovo-Professional-Backpack-Water-resistant-Uncompromised/dp/B08R7S55H4/ref=sr_1_35?keywords=bags&qid=1667111828&qu=eyJxc2MiOiI4LjAzIiwicXNhIjoiOC4wNSIsInFzcCI6IjYuNzUifQ%3D%3D&sr=8-35
"Veneer Medium 20 L Laptop Backpack Men Womens Girls Fashion PU Leather Mini Casual Backpack Bags for School, College, Tuition, Office Bag (Black)",₹999,,,https://www.amazon.in/Veneer-Backpack-Fashion-Leather-College/dp/B09BMG8R6Y/ref=sr_1_36?keywords=bags&qid=1667111828&qu=eyJxc2MiOiI4LjAzIiwicXNhIjoiOC4wNSIsInFzcCI6IjYuNzUifQ%3D%3D&sr=8-36
Half Moon 35 L Casual Waterproof 15.6 inch Laptop Bag/Backpack for Men Women Boys Girls/Office School College Teens & Students with Rain Cover (Black),₹699,,,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozNzc0NDk1MTEyMTg1NjU1OjE2NjcxMTE4Mjg6c3BfYnRmOjIwMDM1MTgyOTQ5NDk4OjowOjo&sp_csd=d2lkZ2V0TmFtZT1zcF9idGY&url=%2FHalf-Moon-Waterproof-Laptop-Backpack%2Fdp%2FB08RB3ZSLH%2Fref%3Dsr_1_37_sspa%3Fkeywords%3Dbags%26qid%3D1667111828%26qu%3DeyJxc2MiOiI4LjAzIiwicXNhIjoiOC4wNSIsInFzcCI6IjYuNzUifQ%253D%253D%26sr%3D8-37-spons%26psc%3D1
